Title,Year,Rating
The Shawshank Redemption,N/A,9.3
The Godfather,N/A,9.2
The Dark Knight,N/A,9.1
The Godfather Part II,N/A,9.0
12 Angry Men,N/A,9.0
The Lord of the Rings: The Return of the King,N/A,9.0
Schindler&apos;s List,N/A,9.0
The Lord of the Rings: The Fellowship of the Ring,N/A,8.9
Pulp Fiction,N/A,8.8
"Il buono, il brutto, il cattivo",N/A,8.8
The Lord of the Rings: The Two Towers,N/A,8.8
Forrest Gump,N/A,8.8
Fight Club,N/A,8.8
Inception,N/A,8.8
Star Wars: Episode V - The Empire Strikes Back,N/A,8.7
The Matrix,N/A,8.7
GoodFellas,N/A,8.7
Interstellar,N/A,8.7
One Flew Over the Cuckoo&apos;s Nest,N/A,8.7
Se7en,N/A,8.6
It&apos;s a Wonderful Life,N/A,8.6
The Silence of the Lambs,N/A,8.6
Shichinin no samurai,N/A,8.6
Saving Private Ryan,N/A,8.6
The Green Mile,N/A,8.6
Cidade de Deus,N/A,8.6
La vita è bella,N/A,8.6
Terminator 2: Judgment Day,N/A,8.6
Star Wars,N/A,8.6
Back to the Future,N/A,8.5
Sen to Chihiro no kamikakushi,N/A,8.6
The Pianist,N/A,8.5
Gladiator,N/A,8.5
Gisaengchung,N/A,8.5
Psycho,N/A,8.5
Hotaru no haka,N/A,8.5
The Lion King,N/A,8.5
Seppuku,N/A,8.6
The Departed,N/A,8.5
Whiplash,N/A,8.5
The Prestige,N/A,8.5
American History X,N/A,8.5
Léon,N/A,8.5
Spider-Man: Across the Spider-Verse,N/A,8.5
Nuovo Cinema Paradiso,N/A,8.5
Casablanca,N/A,8.5
Intouchables,N/A,8.5
The Usual Suspects,N/A,8.5
Alien,N/A,8.5
Modern Times,N/A,8.5
Rear Window,N/A,8.5
Django Unchained,N/A,8.5
C&apos;era una volta il West,N/A,8.5
City Lights,N/A,8.5
Apocalypse Now,N/A,8.4
WALL·E,N/A,8.4
Memento,N/A,8.4
Dune: Part Two,N/A,8.4
Raiders of the Lost Ark,N/A,8.4
Avengers: Infinity War,N/A,8.4
Das Leben der Anderen,N/A,8.4
Spider-Man: Into the Spider-Verse,N/A,8.4
Sunset Blvd.,N/A,8.4
Witness for the Prosecution,N/A,8.4
Paths of Glory,N/A,8.4
The Shining,N/A,8.4
